"gene_symbol","entrez_human","entrez_rat","entrez_mouse","Unirprot_Human","Uniprot_Rat","Uniprot_mouse","gene_name","synonym","DbTF","pubmed_id","evidence_type","AnimalTFDB","DBD","GOC","JASPAR","ORFeome","Ravasi_et_al","TcoF_DB","TFCat","TFClass_human","TFclass_mouse","Vaquerizas_et_al","pubmed_id_1","taxon","pubmed_id_2","taxon_1","pubmed_id_3","taxon_2","pubmed_id_4","taxon_3","pubmed_id_5","taxon_4","pubmed_id_6","taxon_5","GOC981_select_EC"
"FEZF2","55079","305719","54713","Q8TBJ5","B4F7C0","Q9ESP5","FEZ family zinc finger 2","FEZ|FEZL|TOF|ZFP312|ZNF312","1","20431123","Experimental","1","1","1","0","1","0","0","1","TFclass","TFclass_mouse","1","20431123","10090","0","0","0","0","0","0","0","0","0","0","981"
"HNRNPK","3190","117282","15387","B4DUQ1;P61978;Q6IBN1","P61980;Q5D059","B2M1R6;P61979;Q5FWJ5","heterogeneous nuclear ribonucleoprotein K","CSBP|HNRPK|TUNP","1","20371611","Experimental","0","0","1","0","0","1","0","1","0","0","0","20371611","9606","0","0","0","0","0","0","0","0","0","0","981"
"ZBTB7A","51341","117107","16969","O95365;Q8TB76","G3V8P6;Q9QZ48","O88939","zinc finger and BTB domain containing 7A","FBI-1|FBI1|LRF|ZBTB7|ZNF857A|POKEMON","1","20336405","Experimental","1","1","1","0","1","1","1","1","TFclass","TFclass_mouse","1","20336405","9606","0","0","0","0","0","0","0","0","0","0","981"
"HDAC5","10014","84580","15184","Q9UQL6","0","B7ZDF5;B7ZDF7;Q3UJF1;Q6P9T4","histone deacetylase 5","HD5|NY-CO-9","1","20181743","0","0","0","1","0","0","1","1","1","0","0","0","20181743","10090","0","0","0","0","0","0","0","0","0","0","981"
"PPARD","5467","25682","19015","F1D8S7;Q03181","Q99ND3","P35396;Q546I3","peroxisome proliferator-activated receptor delta","FAAR|NR1C2|NUC1|NUCI|NUCII|PPARB","1","20160399","Experimental","1","1","1","0","1","1","1","1","TFclass","TFclass_mouse","1","20160399","9606","0","0","0","0","0","0","0","0","0","0","981"
"KLF15","28999","85497","66277","Q9UIH9","Q5FVT6;Q9WTQ3","Q9EPW2","Kruppel-like factor 15","KKLF","1","20141633","Experimental","1","1","1","0","1","1","1","1","TFclass","TFclass_mouse","1","20141633","9606","0","0","0","0","0","0","0","0","0","0","981"
"BHLHA15","168620","25334","17341","Q7RTS1","P70562","Q9QYC3","basic helix-loop-helix family; member a15","BHLHB8|MIST1","1","20038531","Experimental","1","1","1","0","0","1","1","1","TFclass","TFclass_mouse","1","20038531","9606","0","0","0","0","0","0","0","0","0","0","981"
"BTG2","7832","29619","12227","P78543","P27049","Q04211;Q3TF68","BTG family; member 2","PC3|TIS21","1","20020054","0","0","0","1","0","0","1","0","1","0","0","0","20020054","10116","0","0","0","0","0","0","0","0","0","0","981"
"SALL1","6299","307740","58198","Q9NSC2","D3ZIF4","Q6P5E3","sal-like 1 (Drosophila)","HSAL1|SAL-1|TBS|ZNF794","1","19942929","Experimental","1","1","1","0","1","1","1","1","TFclass","TFclass_mouse","1","19942929","10090","0","0","0","0","0","0","0","0","0","0","981"
"SATB1","6304","316164","20230","Q01826","Q5U2Y2","E9PVB7;Q60611","SATB homeobox 1","0","1","19933152","Experimental","1","1","1","0","1","1","1","1","TFclass","TFclass_mouse","1","19933152","10090","0","0","0","0","0","0","0","0","0","0","981"
"POU1F1","5449","25517","18736","P28069","P10037;Q6P7Q8","F8WGJ8;Q00286","POU class 1 homeobox 1","CPHD1|GHF-1|PIT1|POU1F1A|PIT-1","1","19887646","Experimental","1","1","1","0","1","1","1","1","TFclass","TFclass_mouse","1","19887646","10116","0","0","0","0","0","0","0","0","0","0","981"
"TWIST1","7291","85489","22160","Q15672","Q9EPJ1","P26687","twist basic helix-loop-helix transcription factor 1","ACS3|BPES2|BPES3|CRS1|SCS|TWIST|BHLHA38","1","19802001","Experimental","1","1","1","0","1","1","1","1","TFclass","TFclass_mouse","1","19802001","10090","0","0","0","0","0","0","0","0","0","0","981"
"ZGPAT","84619","296478","229007","Q8N5A5","Q5PPF5","Q8VDM1","zinc finger; CCCH-type with G patch domain","GPATC6|GPATCH6|KIAA1847|ZC3H9|ZC3HDC9|ZIP","1","19644445","Experimental","0","0","1","0","0","0","0","0","TFclass","TFclass_mouse","1","19644445","9606","0","0","0","0","0","0","0","0","0","0","981"
"NFIB","4781","29227","18028","O00712;Q5VW26;Q5VW27;Q5VW28;Q5VW30","O70185;O70186;O70187","P97863;Q6GSP7","nuclear factor I/B","CTF|HMGIC/NFIB|NF-I/B|NF1-B|NFI-B|NFI-RED|NFIB2|NFIB3","1","19540848","Experimental","1","0","1","0","1","1","1","1","TFclass","TFclass_mouse","1","19540848","9606","0","0","0","0","0","0","0","0","0","0","981"
"BMPR1A","657","0","0","P36894","0","0","bone morphogenetic protein receptor; type IA","10Q23DEL|ACVRLK3|ALK3|CD292|SKR5","1","19416967","0","0","0","1","0","0","0","0","0","0","0","0","19416967","10090","0","0","0","0","0","0","0","0","0","0","981"
"ZNF536","9745","292820","243937","O15090","0","Q8K083","zinc finger protein 536","0","1","19398580","Experimental","1","1","1","0","1","0","1","0","TFclass","TFclass_mouse","1","19398580","9606","0","0","0","0","0","0","0","0","0","0","981"
"OSR2","116039","315039","107587","Q8N2R0","Q6AY34","Q91ZD1","odd-skipped related 2 (Drosophila)","0","1","19389375","Author statement","1","1","1","0","1","0","1","0","TFclass","TFclass_mouse","1","19389375","10090","0","0","0","0","0","0","0","0","0","0","981"
"GLIS3","169792","0","226075","Q1PHJ8;Q8NEA6","0","Q0GE24;Q6XP49","GLIS family zinc finger 3","ZNF515","1","19264802","Experimental","1","1","1","0","0","1","1","1","TFclass","TFclass_mouse","1","19264802","10090","0","0","0","0","0","0","0","0","0","0","981"
"MKX","283078","291228","210719","Q8IYA7","0","B2RQ30;Q8BIA3","mohawk homeobox","C10ORF48|IFRX|IRXL1","1","19235719","Experimental","1","1","1","0","0","1","1","1","TFclass","TFclass_mouse","1","19235719","10090","0","0","0","0","0","0","0","0","0","0","981"
"HMGA1","3159","117062","15361","P17096;Q5T6U8","Q8K585","P17095;Q3TE85;Q3TVP0;Q566K0","high mobility group AT-hook 1","HMG-R|HMGA1A|HMGIY","1","19223528","Experimental","1","0","1","0","1","1","1","1","TFclass","TFclass_mouse","1","19223528","9606;10090","0","0","0","0","0","0","0","0","0","0","981"
"MYF5","4617","299766","17877","P13349","D3ZVU3","A2RSK4;P24699","myogenic factor 5","BHLHC2","1","19192046","Experimental","1","1","1","0","1","1","1","1","TFclass","TFclass_mouse","1","19192046","9606","0","0","0","0","0","0","0","0","0","0","981"
"IFI16","3428","0","15951","Q16666","0","E9QKL6;P15092;Q08619","interferon; gamma-inducible protein 16","IFNGIP1|PYHIN2","1","19170058","Experimental","0","0","1","0","0","1","1","1","0","0","1","19170058","9606","0","0","0","0","0","0","0","0","0","0","981"
"FUBP3","8939","362106","320267","Q96I24","Q2QC85","A2AJ72;Q3TIX6;Q8BYI4","far upstream element (FUSE) binding protein 3","FBP3","1","19087307","Author statement","0","0","1","0","1","1","0","1","0","0","0","19087307","9606","0","0","0","0","0","0","0","0","0","0","981"
"BCL11A","53335","305589","14025","D6W5D9;D9YZV9;Q9H165","D3ZSY3","Q3TP99;Q3US10;Q5STS9;Q9QYE3","B-cell CLL/lymphoma 11A (zinc finger protein)","BCL11A-L|BCL11A-S|BCL11A-XL|BCL11A-M|CTIP1|EVI9|HBFQTL5|ZNF856","1","19056937","Experimental","1","1","1","0","1","1","1","1","TFclass","TFclass_mouse","1","19056937","9606","0","0","0","0","0","0","0","0","0","0","981"
"NR5A1","2516","83826","26423","F1D8R8;Q13285","P50569","P33242","nuclear receptor subfamily 5; group A; member 1","AD4BP|ELP|FTZ1|FTZF1|POF7|SF-1|SF1|SPGF8|SRXY3","1","19022561","Experimental","1","1","1","0","1","1","1","1","TFclass","TFclass_mouse","1","19022561","9606","0","0","0","0","0","0","0","0","0","0","981"
"HOXA7","3204","500126","15404","P31268","M0R7P7","G3UZU9;P02830;Q8JZW2","homeobox A7","ANTP|HOX1|HOX1.1|HOX1A","1","18973687","Experimental","1","1","1","0","1","1","1","1","TFclass","TFclass_mouse","1","18973687","9606","0","0","0","0","0","0","0","0","0","0","981"
"ZKSCAN3","80317","306977","72739","Q9BRR0","F7DP88;Q5FVP7","Q91VW9","zinc finger with KRAB and SCAN domains 3","ZF47|ZFP306|ZNF306|ZNF309|ZSCAN13|ZFP47|DJ874C20.1|DJ874C20.1.|ZFP-47","1","18940803","Experimental","1","1","1","0","1","1","1","1","TFclass","TFclass_mouse","1","18940803","9606","0","0","0","0","0","0","0","0","0","0","981"
"OTX1","5013","25646","18423","B4DM62;P32242","Q63410","P80205;Q5SS54","orthodenticle homeobox 1","0","1","18849347","Experimental","1","1","1","0","1","1","1","1","TFclass","TFclass_mouse","1","18849347","9606","0","0","0","0","0","0","0","0","0","0","981"
"HCFC1","3054","363519","15161","A6NEM2;P51610","D3ZN95","B1AUX2;Q61191","host cell factor C1 (VP16-accessory protein)","CFF|HCF-1|HCF1|HFC1|MRX3|VCAF","1","18836447","0","0","0","1","0","0","1","1","1","0","0","0","18836447","10090","0","0","0","0","0","0","0","0","0","0","981"
"SUB1","10923","192269","20024","P53999;Q6IBA2","Q63396","P11031","SUB1 homolog (S. cerevisiae)","P15|PC4|P14","1","18836447","0","1","0","1","0","1","1","1","1","0","0","0","18836447","10090","0","0","0","0","0","0","0","0","0","0","981"
"TARDBP","23435","298648","230908","Q13148;Q9H256","I6L9G6","Q544R5;Q6VYI4;Q6VYI5;Q8BLD4;Q8BUM1;Q8R0B4;Q921F2","TAR DNA binding protein","ALS10|TDP-43","1","18836447","0","0","0","1","0","0","1","1","1","0","0","0","18836447","10090","0","0","0","0","0","0","0","0","0","0","981"
"RFX6","222546","294395","320995","Q8HWS3","F1LTN7","Q8C7R7","regulatory factor X; 6","MTFS|RFXDC1|DJ955L16.1","1","18673564","Sequence analysis","1","1","1","0","0","1","1","1","TFclass","TFclass_mouse","1","18673564","9606","0","0","0","0","0","0","0","0","0","0","981"
"LEF1","51176","161452","16842","Q659G9;Q9UJU2","G3V7C1;Q9QXN1","D3Z654;P27782;Q3TYB0;Q8BGZ9;Q8C402","lymphoid enhancer-binding factor 1","LEF-1|TCF10|TCF1ALPHA|TCF7L3","1","18579517","Experimental","1","0","1","0","1","1","1","1","TFclass","TFclass_mouse","1","18579517","9606;10090","0","0","0","0","0","0","0","0","0","0","981"
"PHB","5245","25344","18673","A8K401;P35232;Q53FV0","P67779","P67778","prohibitin","PHB1","1","18480465","0","0","0","1","0","0","0","1","0","0","0","0","18480465","10090","0","0","0","0","0","0","0","0","0","0","981"
"SARNP","84324","0","0","P82979","0","0","SAP domain containing ribonucleoprotein","CIP29|HCC1|HSPC316|THO1","1","18480465","0","0","0","1","0","0","0","0","0","0","0","0","18480465","10090","0","0","0","0","0","0","0","0","0","0","981"
"EPAS1","2034","29452","13819","B3KW07;Q99814","Q9JHS1","P97481","endothelial PAS domain protein 1","ECYT4|HIF2A|HLF|MOP2|PASD2|BHLHE73","1","18442887","Experimental","0","1","1","0","1","1","1","1","TFclass","TFclass_mouse","1","18442887","9606","0","0","0","0","0","0","0","0","0","0","981"
"CTCFL","140690","296420","664799","A6XGM0;A6XGM9;Q8NI51;V9GY73;V9GYX4","0","A2APF3","CCCTC-binding factor (zinc finger protein)-like","BORIS|CT27|CTCF-T|HMGB1L1|DJ579F20.2","1","18413740","Experimental","1","1","1","0","1","1","1","1","TFclass","TFclass_mouse","1","18413740","9606","0","0","0","0","0","0","0","0","0","0","981"
"SOX12","6666","689988","20667","O15370","D3ZZ13","Q04890","SRY (sex determining region Y)-box 12","SOX22","1","18403418","Experimental","1","0","1","0","1","1","1","1","TFclass","TFclass_mouse","1","18403418","10090","0","0","0","0","0","0","0","0","0","0","981"
"MESP1","55897","308766","17292","Q9BRJ9","D3ZUG3","P97309","mesoderm posterior 1 homolog (mouse)","BHLHC5","1","18297060","Experimental","1","1","1","0","1","0","0","0","TFclass","TFclass_mouse","1","18297060","9606","0","0","0","0","0","0","0","0","0","0","981"
"BARHL1","56751","117232","54422","Q9BZE3","P63156","P63157;Q8BJ04","BarH-like homeobox 1","0","1","18212062","Experimental","1","1","1","0","1","1","1","1","TFclass","TFclass_mouse","1","18212062","10090","0","0","0","0","0","0","0","0","0","0","981"
"HES6","55502","316626","55927","B9A070;Q96HZ4","Q5PPN0","Q9JHE6","hairy and enhancer of split 6 (Drosophila)","HES-6|BHLHB41|BHLHC23","1","18160400","Experimental","1","1","1","0","1","1","0","1","TFclass","TFclass_mouse","1","18160400","9606","0","0","0","0","0","0","0","0","0","0","981"
"C1ORF85","112770","0","0","Q8WWB7","0","0","chromosome 1 open reading frame 85","NCU-G1","1","18021396","Experimental","0","0","1","0","0","0","0","0","0","0","0","18021396","9606","0","0","0","0","0","0","0","0","0","0","981"
"HDGF","3068","114499","15191","P51858","Q8VHK7","P51859","hepatoma-derived growth factor","HMG1L2","1","17974029","Experimental","0","0","1","0","0","1","1","1","0","0","0","17974029","9606","0","0","0","0","0","0","0","0","0","0","981"
"HMGA2","8091","84017","15364","P52926","O88791","P52927;Q6NSP9","high mobility group AT-hook 2","BABL|HMGI-C|HMGIC|LIPO|STQTL9","1","17914116","Experimental","1","0","1","0","1","1","1","1","TFclass","TFclass_mouse","1","17914116","9606","0","0","0","0","0","0","0","0","0","0","981"
"PGR","5241","25154","18667","P06401","Q63449","A6H6A5;Q8BW69","progesterone receptor","NR3C3|PR","1","17785366","Experimental","1","1","1","0","1","1","1","1","TFclass","TFclass_mouse","1","17785366","9606","0","0","0","0","0","0","0","0","0","0","981"
"CSRNP1","64651","363165","215418","Q96S65","D4AAK3","P59054","cysteine-serine-rich nuclear protein 1","AXUD1|CSRNP-1|FAM130B|TAIP-3|URAX1","1","17726538","Experimental","0","0","1","0","0","0","0","0","TFclass","TFclass_mouse","0","17726538","10090","0","0","0","0","0","0","0","0","0","0","981"
"CSRNP2","81566","315308","207785","Q9H175","D4A1W4","Q8BGQ2","cysteine-serine-rich nuclear protein 2","C12ORF2|C12ORF22|FAM130A1|PPP1R72|TAIP-12","1","17726538","Experimental","0","0","1","0","0","0","0","0","TFclass","TFclass_mouse","0","17726538","10090","0","0","0","0","0","0","0","0","0","0","981"
"CSRNP3","80034","311093","77771","J3KQ49;Q8WYN3","0","P59055;Q7TNU4","cysteine-serine-rich nuclear protein 3","FAM130A2|PPP1R73|TAIP-2|TAIP2","1","17726538","Experimental","0","0","1","0","0","0","0","0","TFclass","TFclass_mouse","0","17726538","10090","0","0","0","0","0","0","0","0","0","0","981"
"PTH","5741","24694","19226","P01270","P04089","Q9Z0L6","parathyroid hormone","PTH1","1","17696759","0","0","0","1","0","0","0","0","0","0","0","0","17696759","9606","0","0","0","0","0","0","0","0","0","0","981"
"POU4F2","5458","171355","18997","Q12837","G3V7L5","Q63934","POU class 4 homeobox 2","BRN3.2|BRN3B|BRN-3B","1","17637757","Experimental","1","1","1","0","1","1","1","1","TFclass","TFclass_mouse","1","17637757","9606","0","0","0","0","0","0","0","0","0","0","981"
"PRDM5","11107","689788","70779","Q9NQX1","0","E9Q707;G3UWU3;Q9CXE0","PR domain containing 5","BCS2|PFM2","1","17636019","Experimental","1","1","1","0","1","1","1","1","TFclass","TFclass_mouse","1","17636019","9606","0","0","0","0","0","0","0","0","0","0","981"
"TBX15","6913","295315","21384","Q8N8P2;Q96SF7","D3ZJ07","O70306","T-box 15","TBX14","1","17584735","Experimental","1","1","1","0","1","1","1","1","TFclass","TFclass_mouse","1","17584735","10090","0","0","0","0","0","0","0","0","0","0","981"
"TBX18","9096","315870","76365","O95935","D4A1V6","G3X919;Q8C003;Q9EPZ6","T-box 18","0","1","17584735","Experimental","1","1","1","0","1","1","1","1","TFclass","TFclass_mouse","1","17584735","10090","0","0","0","0","0","0","0","0","0","0","981"
"BSX","390259","500982","244813","Q3C1V8","D4A5F6","Q810B3","brain-specific homeobox","BSX1","1","17550780","Experimental","1","1","1","0","0","0","0","0","TFclass","TFclass_mouse","1","17550780","10090","0","0","0","0","0","0","0","0","0","0","981"
"OVOL1","5017","309164","18426","G3V1B0;O14753","D4A445","Q9WTJ2","ovo-like 1(Drosophila)","HOVO1","1","17311813","Experimental","1","1","1","0","1","1","1","1","TFclass","TFclass_mouse","1","17311813","10090","0","0","0","0","0","0","0","0","0","0","981"
"CREB3L2","64764","362339","208647","Q68D60;Q70SY1","Q6QDP7","Q8BH52","cAMP responsive element binding protein 3-like 2","BBF2H7","1","17178827","Experimental","1","1","1","0","1","0","1","0","TFclass","TFclass_mouse","1","17178827","9606","0","0","0","0","0","0","0","0","0","0","981"
"MEOX2","4223","29279","17286","P50222","P39020","P32443","mesenchyme homeobox 2","GAX|MOX2","1","17074759","Experimental","1","1","1","0","1","1","1","1","TFclass","TFclass_mouse","1","17074759","9606","0","0","0","0","0","0","0","0","0","0","981"
"MSX2","4488","25483","17702","P35548","G3V8D1","Q03358;Q3UZH5","msh homeobox 2","CRS2|FPP|HOX8|MSH|PFM|PFM1","1","17068080","Experimental","1","1","1","0","1","1","1","1","TFclass","TFclass_mouse","1","17068080","10090","0","0","0","0","0","0","0","0","0","0","981"
"SIX3","6496","78974","20473","O95343","Q9ET75","Q62233","SIX homeobox 3","HPE2","1","17066077","Experimental","1","1","1","0","1","1","1","1","TFclass","TFclass_mouse","1","17066077","10090","0","0","0","0","0","0","0","0","0","0","981"
"FOXP3","50943","317382","20371","Q9BZS1","D3ZKI1;D4Q8I2","Q53Z59;Q99JB6","forkhead box P3","AIID|DIETER|IPEX|PIDX|XPID","1","17028180","Experimental","1","1","1","0","1","1","1","1","TFclass","TFclass_mouse","1","17028180","9606;10090","0","0","0","0","0","0","0","0","0","0","981"
"EBF2","64641","361060","13592","B2RNT0;B7Z934;Q9HAK2","D3ZT68","O08792","early B-cell factor 2","COE2|EBF-2|O/E-3|OE-3","1","17018599","Experimental","1","0","1","0","1","1","0","1","TFclass","TFclass_mouse","0","17018599","10090","0","0","0","0","0","0","0","0","0","0","981"
"EBF3","253738","361668","13593","Q9H4W6","D4A274","O08791;Q3UUB6;Q5DTH8;Q6NXL3","early B-cell factor 3","COE3|EBF-3|O/E-2|OE-2","1","17018599","Experimental","1","0","1","0","0","1","1","1","TFclass","TFclass_mouse","1","17018599","10090","0","0","0","0","0","0","0","0","0","0","981"
"TFEB","7942","316214","21425","B0QYS6;P19484","Q4KLM8","Q3UKG7;Q6P203;Q8C5F1;Q9R210","transcription factor EB","ALPHATFEB|BHLHE35|TCFEB","1","16936731","Experimental","1","1","1","0","1","1","1","1","TFclass","TFclass_mouse","1","16936731","9606","0","0","0","0","0","0","0","0","0","0","981"
"ARNTL2","56938","362464","272322","Q8WYA1","0","E9Q993;E9Q994;Q1A3C9;Q1A532;Q2VPD4","aryl hydrocarbon receptor nuclear translocator-like 2","BMAL2|CLIF|MOP9|PASD9|BHLHE6","1","16893914","Author statement","1","1","1","0","1","1","1","1","TFclass","TFclass_mouse","1","16893914","10090","0","0","0","0","0","0","0","0","0","0","981"
"MESP2","145873","293046","17293","Q0VG99","D3ZXB3","A6H5V4;O08574","mesoderm posterior 2 homolog (mouse)","SCDO2|BHLHC6","1","16728472","Experimental","1","1","1","0","1","0","1","1","TFclass","TFclass_mouse","1","16728472","10090","0","0","0","0","0","0","0","0","0","0","981"
"MED1","5469","497991","19014","Q15648","D3ZRN2","Q925J9","mediator complex subunit 1","CRSP1|CRSP200|DRIP205|DRIP230|PBP|PPARBP|PPARGBP|RB18A|TRAP220|TRIP2","1","16723356","0","0","0","1","0","1","1","1","1","0","0","0","16723356","10090","0","0","0","0","0","0","0","0","0","0","981"
"SOHLH1","402381","362085","227631","Q5JUK2","D4A4L1","Q6IUP1","spermatogenesis and oogenesis specific basic helix-loop-helix 1","C9ORF157|NOHLH|SPATA27|TEB2|BA100C15.3|BHLHE80","1","16690745","Experimental","1","1","1","0","0","0","1","0","TFclass","TFclass_mouse","1","16690745","10090","0","0","0","0","0","0","0","0","0","0","981"
"DLX3","1747","287638","13393","O60479","D4ADD0","Q64205;Q78ZZ8","distal-less homeobox 3","AI4|TDO","1","16687405","Experimental","1","1","1","0","1","1","1","1","TFclass","TFclass_mouse","1","16687405","9606","0","0","0","0","0","0","0","0","0","0","981"
"ONECUT1","3175","25231","15379","Q9UBC0","D3ZM89;P70512","O08755","one cut homeobox 1","HNF-6|HNF6|HNF6A","1","16618419","Experimental","1","1","1","0","1","1","1","1","TFclass","TFclass_mouse","1","16618419","10090","0","0","0","0","0","0","0","0","0","0","981"
"MSX1","4487","81710","17701","P28360","Q9QUG0","P13297","msh homeobox 1","HOX7|HYD1|STHAG1","1","16600910","Experimental","1","1","1","0","1","1","1","1","TFclass","TFclass_mouse","1","16600910","10090","0","0","0","0","0","0","0","0","0","0","981"
"KLF17","128209","298449","75753","Q5JT82","D4ADI3","Q8CFA7","Kruppel-like factor 17","ZNF393|ZFP393","1","16460907","Experimental","1","1","1","0","1","0","1","0","TFclass","TFclass_mouse","1","16460907","9606","0","0","0","0","0","0","0","0","0","0","981"
"SKIL","6498","114208","20482","P12757","D3ZWL1","D3Z7C5;Q3TB81;Q60665","SKI-like oncogene","SNO|SNOA|SNOI|SNON","1","16442497","Experimental","0","0","1","0","0","1","1","1","0","0","1","16442497","9606","0","0","0","0","0","0","0","0","0","0","981"
"RBPJ","3516","679028","19664","Q06330","0","E9Q7W0;P31266;Q3U6F1;Q3UM17","recombination signal binding protein for immunoglobulin kappa J region","AOS3|CBF1|IGKJRB|IGKJRB1|KBF2|RBP-J|RBPJK|RBPSUH|SUH|CSL","1","16439682","Experimental","1","1","1","0","1","1","1","1","TFclass","TFclass_mouse","1","16439682","9606","0","0","0","0","0","0","0","0","0","0","981"
"ZBTB4","57659","287441","75580","B3KVD4;Q9P1Z0","D4A8X0","Q3UHT8;Q5F293","zinc finger and BTB domain containing 4","KAISO-L1|ZNF903","1","16354688","Experimental","1","1","1","0","1","0","1","0","TFclass","TFclass_mouse","1","16354688","9606","0","0","0","0","0","0","0","0","0","0","981"
"HOXD13","3239","288154","15433","P35453","D4ACD0","P70217","homeobox D13","BDE|BDSD|HOX4I|SPD","1","16314414","Experimental","1","1","1","0","1","1","1","1","TFclass","TFclass_mouse","1","16314414","10090","0","0","0","0","0","0","0","0","0","0","981"
"LMO2","4005","362176","16909","P25791","Q3KRD2","A2BHP3;A2BHP5;P25801;Q544Z2","LIM domain only 2 (rhombotin-like 1)","RBTN2|RBTNL1|RHOM2|TTG2","1","16314316","Experimental","0","0","1","0","1","1","0","1","0","0","0","16314316","9606","0","0","0","0","0","0","0","0","0","0","981"
"NR4A1","3164","79240","15370","P22736","P22829","P12813;Q545Q1","nuclear receptor subfamily 4; group A; member 1","GFRP1|HMR|N10|NAK-1|NGFIB|NP10|NUR77|TR3","1","16237153","Experimental","1","1","1","0","1","1","1","1","TFclass","TFclass_mouse","1","16237153","10090","0","0","0","0","0","0","0","0","0","0","981"
"HEY1","23462","155437","15213","B4DEI9;Q9Y5J3","0","Q9QUM5","hairy/enhancer-of-split related with YRPW motif 1","BHLHB31|CHF2|HERP2|HESR1|HRT-1|OAF1","1","16199874","0","1","1","1","0","1","1","1","1","TFclass","TFclass_mouse","1","16199874","10090","0","0","0","0","0","0","0","0","0","0","981"
"E2F8","79733","308607","108961","A0AVK6","0","Q58FA4","E2F transcription factor 8","E2F-8","1","16179649","Experimental","1","1","1","0","0","1","0","1","TFclass","TFclass_mouse","1","16179649","9606","0","0","0","0","0","0","0","0","0","0","981"
"RUNX3","864","156726","12399","Q13761","Q91ZK1","Q3U1Q3","runt-related transcription factor 3","AML2|CBFA3|PEBP2AC","1","16164020","Experimental","1","1","1","0","1","1","1","1","TFclass","TFclass_mouse","1","16164020","9606","0","0","0","0","0","0","0","0","0","0","981"
"EAF2","55840","266787","106389","Q96CJ1","Q811X5","K4DI60;Q91ZD6","ELL associated factor 2","BM040|TRAITS|U19","1","16114057","Experimental","1","0","1","0","0","0","0","1","0","0","0","16114057","9606","0","0","0","0","0","0","0","0","0","0","981"
"NFATC1","4772","100361818","18018","A8K9C6;B4DER8;F5H4S8;K7ER53;O95644","0","B5B2N2;B5B2N4;B5B2N5;B5B2N7;Q6P7T9;Q9DBQ6","nuclear factor of activated T-cells; cytoplasmic; calcineurin-dependent 1","NF-ATC|NFAT2|NFATC","1","16109714","Experimental","1","1","1","0","1","1","1","1","TFclass","TFclass_mouse","1","16109714","9606;10090","0","0","0","0","0","0","0","0","0","0","981"
"PLSCR1","5359","117540","22038","O15162","P58195;Q5U351","Q9JJ00","phospholipid scramblase 1","MMTRA1B","1","16091359","0","0","0","1","0","0","0","0","0","0","0","0","16091359","9606","0","0","0","0","0","0","0","0","0","0","981"
"GZF1","64412","311508","74533","Q9H116","D3ZUU2","Q4VBD9","GDNF-inducible zinc finger protein 1","ZBTB23|ZNF336","1","16049025","Experimental","1","1","1","0","1","1","1","1","TFclass","TFclass_mouse","1","16049025","9606","0","0","0","0","0","0","0","0","0","0","981"
"CUX1","1523","116639","13047","P39880;Q13948;Q3LIA3","P53565","E9QKE9;H3BJN3;H3BK24;H3BKT0;H3BLS0;P53564;Q5BL05;Q6AXG1;Q9JJB6","cut-like homeobox 1","CASP|CDP|CDP/CUT|CDP1|COY1|CUTL1|CUX|CLOX|CUX/CDP|GOLIM6|NBLA10317|P100|P110|P200|P75","1","15994318","Experimental","1","1","1","0","1","1","1","1","TFclass","TFclass_mouse","1","15994318","10090","0","0","0","0","0","0","0","0","0","0","981"
"NEUROD1","4760","29458","18012","Q13562","Q64289","Q60867","neuronal differentiation 1","BETA2|BHF-1|MODY6|NEUROD|BHLHA3","1","15993959","Experimental","1","1","1","0","1","1","1","1","TFclass","TFclass_mouse","1","15993959","10090","0","0","0","0","0","0","0","0","0","0","981"
"ARX","170302","317268","11878","Q96QS3","A6YP92","O35085","aristaless related homeobox","CT121|EIEE1|ISSX|MRX29|MRX32|MRX33|MRX36|MRX38|MRX43|MRX54|MRX76|MRX87|MRXS1|PRTS","1","15930104","Experimental","1","1","1","0","1","1","1","1","TFclass","TFclass_mouse","1","15930104","10090","0","0","0","0","0","0","0","0","0","0","981"
"ZFPM1","161882","691504","22761","Q8IX07","0","O35615","zinc finger protein; FOG family member 1","FOG|FOG1|ZNF408|ZNF89A","1","15920471","0","1","1","1","0","1","1","1","1","TFclass","TFclass_mouse","1","15920471","9606","0","0","0","0","0","0","0","0","0","0","981"
"TCF21","6943","252856","21412","O43680","Q498R2","O35437","transcription factor 21","POD1|BHLHA23","1","15919722","Experimental","1","1","1","0","1","1","1","1","TFclass","TFclass_mouse","1","15919722","10090","0","0","0","0","0","0","0","0","0","0","981"
"VAX1","11023","64571","22326","Q5SQQ9","Q9JM00","Q2NKI2","ventral anterior homeobox 1","MCOPS11","1","15905411","0","1","1","1","0","1","1","1","1","TFclass","TFclass_mouse","1","15905411","10090","0","0","0","0","0","0","0","0","0","0","981"
"HOXA10","3206","368057","15395","P31260","G3V6Z0","P31310","homeobox A10","HOX1|HOX1.8|HOX1H|PL","1","15886193","Experimental","1","1","1","0","1","1","1","1","TFclass","TFclass_mouse","1","15886193","10090","0","0","0","0","0","0","0","0","0","0","981"
"NKX6-1","4825","65193","18096","P78426","O35762","Q99MA9","NK6 homeobox 1","NKX6.1|NKX6A","1","15883383","Experimental","1","1","1","0","1","1","1","1","TFclass","TFclass_mouse","1","15883383","10116","0","0","0","0","0","0","0","0","0","0","981"
