"gene_symbol","entrez_human","entrez_rat","entrez_mouse","Unirprot_Human","Uniprot_Rat","Uniprot_mouse","gene_name","synonym","DbTF","pubmed_id","evidence_type","AnimalTFDB","DBD","GOC","JASPAR","ORFeome","Ravasi_et_al","TcoF_DB","TFCat","TFClass_human","TFclass_mouse","Vaquerizas_et_al","pubmed_id_1","taxon","pubmed_id_2","taxon_1","pubmed_id_3","taxon_2","pubmed_id_4","taxon_3","pubmed_id_5","taxon_4","pubmed_id_6","taxon_5","GOC981_select_EC"
"FOSL1","8061","25445","14283","P15407","P10158","P48755;Q3UMK5","FOS-like antigen 1","FRA|FRA1|FRA-1","1","7791782; 15608675","Experimental","1","1","1","1","1","1","1","1","TFclass","TFclass_mouse","1","15608675","9606","7791782","10116","0","0","0","0","0","0","0","0","981"
"FOXA1","3169","25098","15375","P55317","P23512","P35582","forkhead box A1","HNF3A|TCF3A","1","2227418; 15485926; 20018680","Experimental","1","1","1","1","1","1","1","1","TFclass","TFclass_mouse","1","20018680","9606","15485926","10116","2227418","10116","0","0","0","0","0","0","981"
"CEBPA","1050","24252","12606","P49715","P05554","P53566","CCAAT/enhancer binding protein (C/EBP); alpha","C/EBP-ALPHA|CEBP","1","2227417; 8632009","Experimental","1","0","1","1","1","1","1","1","TFclass","TFclass_mouse","1","8632009","10116","2227417","10116","0","0","0","0","0","0","0","0","981"
"RELA","5970","309165","19697","Q04206","Q7TQN4","Q04207;Q548Y4","v-rel reticuloendotheliosis viral oncogene homolog A (avian)","NFKB3|P65","1","1935902; 15485852; 15857826","Experimental","1","1","1","1","1","1","1","1","TFclass","TFclass_mouse","1","15857826","10090","15485852","9606","1935902","9606","0","0","0","0","0","0","981"
"PAX5","5079","500453","18507","C0KTE5;C0KTF5;E7EQT0;E7ERK2;E7ERW5;E7ES87;Q02548","0","Q02650","paired box 5","BSAP","1","19139719; 8406007","Experimental","1","1","1","1","1","1","1","1","TFclass","TFclass_mouse","1","19139719","9606","8406007","9606","0","0","0","0","0","0","0","0","981"
"NOBOX","135935","502759","18291","O60393","D3ZXL8","Q8VIH1","NOBOX oogenesis homeobox","OG-2|OG2|OG2X|POF5|TCAG_12042","1","16997917; 16997917","Experimental","1","1","1","1","0","0","1","1","TFclass","0","1","16997917","10090","16997917","9606","0","0","0","0","0","0","0","0","981"
"GATA1","2623","25172","14460","P15976","P43429","P17679","GATA binding protein 1 (globin transcription factor 1)","ERYF1|GATA-1|GF-1|GF1|NFE1|XLANP|XLTDA|XLTT","1","1650452; 2725678","Experimental","1","1","1","1","1","1","1","1","TFclass","TFclass_mouse","1","2725678","10090","1650452","10090","0","0","0","0","0","0","0","0","981"
"CEBPB","1051","24253","12608","P17676","P21272","P28033;Q3UPN9","CCAAT/enhancer binding protein (C/EBP); beta","C/EBP-BETA|CRP2|IL6DBP|LAP|NF-IL6|TCF5","1","15308669; 15713650","Experimental","1","1","1","1","1","1","1","1","TFclass","TFclass_mouse","1","15713650","10090","15308669","10116","0","0","0","0","0","0","0","0","981"
"HIF1A","3091","29560","15251","D0VY79;Q16665","O35800","Q3UCW2;Q61221","hypoxia inducible factor 1; alpha subunit (basic helix-loop-helix transcription factor)","HIF-1A|HIF-1ALPHA|HIF1|HIF1-ALPHA|MOP1|PASD8|BHLHE78","1","15111179; 20427574","Experimental","1","1","1","1","1","1","1","1","TFclass","TFclass_mouse","1","20427574","9606","15111179","9606","0","0","0","0","0","0","0","0","981"
"CRX","1406","60446","12951","O43186","Q9JLT8;Q9WTQ9","O54751;Q543C9","cone-rod homeobox","CORD2|CRD|LCA7|OTX3","1","15001570; 16332268","Experimental","1","1","1","1","1","1","1","1","TFclass","TFclass_mouse","1","16332268","10090","15001570","9606","0","0","0","0","0","0","0","0","981"
"CREB1","1385","81646","12912","P16220;Q53X93;Q5U0J5","P15337","Q01147;Q543W0;Q547S9;Q62347","cAMP responsive element binding protein 1","CREB","1","14593102; 15054091","Experimental","1","1","1","1","1","1","1","1","TFclass","TFclass_mouse","1","15054091","10090","14593102","10090","0","0","0","0","0","0","0","0","981"
"FLI1","2313","315532","14247","Q01543","Q4Z8P1","P26323;Q544B3;Q8BZ56","Friend leukemia virus integration 1","EWSR2|SIC-1","1","1445800; 8449942; 8449942; 8502483; 12065417; 14570912","Experimental","1","1","1","1","1","1","1","1","TFclass","TFclass_mouse","1","14570912","10090","12065417","10090","8502483","9606","8449942","10090","8449942","9606","1445800","10090","981"
"SOX5","6660","140587","20678","P35711;T2CYZ2","0","B2KFM4;B2KFM9;P35710;Q2TBA9;Q3TVF9;Q8C4K8","SRY (sex determining region Y)-box 5","L-SOX5","1","1396566; 8078769; 9755172","Experimental","1","0","1","1","1","1","1","1","TFclass","TFclass_mouse","1","9755172","10090","8078769","10090","1396566","10090","0","0","0","0","0","0","981"
"FOXC1","2296","364706","17300","Q12948;W6CJ52","M0RCA0","Q61572","forkhead box C1","ARA|FKHL7|FREAC-3|FREAC3|IGDA|IHG1|IRID1|RIEG3","1","12533514; 15684392","Experimental","1","1","1","1","1","1","1","1","TFclass","TFclass_mouse","1","15684392","9606","12533514","10090","0","0","0","0","0","0","0","0","981"
"EBF1","1879","116543","13591","B4E2U8;Q9UH73","Q63398","Q07802;Q3UTW6;Q5SWK4;Q5SWK5;Q5SWK8;Q8CBL7","early B-cell factor 1","COE1|EBF|O/E-1|OLF1","1","12446773; 20543837","Experimental","1","0","1","1","1","1","1","1","TFclass","TFclass_mouse","1","20543837","10090","12446773","10090","0","0","0","0","0","0","0","0","981"
"JUN","3725","24516","16476","P05412","P17325","P05627;Q52L79","jun proto-oncogene","AP-1|AP1|C-JUN","1","12215258; 15494506","Experimental","1","1","1","1","1","1","1","1","TFclass","TFclass_mouse","1","15494506","10090","12215258","10090","0","0","0","0","0","0","0","0","981"
"NR4A2","4929","54278","18227","F1D8N6;P43354;Q53EL4","Q07917;Q3LZI5","Q06219;Q3TYI4","nuclear receptor subfamily 4; group A; member 2","HZF-3|NOT|NURR1|RNR1|TINUR","1","12122012; 15485875","Experimental","1","1","1","1","1","1","1","1","TFclass","TFclass_mouse","1","15485875","10090;10116","12122012","9606","0","0","0","0","0","0","0","0","981"
"NFYA","4800","29508","18044","P23511","P18576","E0CYF3;P23708;Q3UP82;Q9DBV7","nuclear transcription factor Y; alpha","CBF-A|CBF-B|HAP2|NF-YA","1","12070012; 15601870","Experimental","1","1","1","1","1","1","1","1","TFclass","TFclass_mouse","1","15601870","10090","12070012","9606","0","0","0","0","0","0","0","0","981"
