"tax_id","Org_name"
9531,"Cercocebus atys"
60711,"Chlorocebus sabaeus"
11676,"Human immunodeficiency virus 1"
9606,"Homo sapiens"
63221,"Homo sapiens neanderthalensis"
741158,"Homo sapiens ssp. Denisova"
9544,"Macaca mulatta"
9545,"Macaca nemestrina"
