Normal,Tumor
780,9.807121576264,9.86162640479905
5982,8.66274944043707,9.19558530267047
3310,7.78952593900451,7.65166349762282
7849,9.63885988413265,9.52693341118011
2978,3.98938252532897,4.08827633010976
7318,9.10264614845235,9.31755250255929
7067,7.48320638958507,7.25857201492499
11099,5.80216887833296,5.69176475208991
6352,8.48886214499983,8.38729139688475
1571,15.8271273800693,13.1976662184369
2049,5.10951551067688,4.53681430090893
2101,10.5595124920946,10.4436937857554
1548,15.499448862008,12.231721495309
949,12.1193069349962,12.3987020019234
23170,10.3066467603403,10.2679543647717
112597,6.0173744894336,6.53514678512472
10406,4.15348389043571,3.90306846849708
5594,7.78022168839722,7.82496481509826
203102,4.64364434373352,5.07898218401618
128153,3.32045070351,3.38455724814086
163154,6.15702877833657,5.44221508364263
54899,8.54965281688686,8.90001053732674
57617,6.1549329086506,5.89825331449294
91283,9.13003148924395,9.36265778525055
113235,8.69749612614005,8.47990994617392
91937,8.23618291337137,5.33036827064346
283375,11.7927748960893,9.96552102236711
79844,8.63196177761982,7.90025559023695
90423,6.84609760217943,7.29401843731948
172,8.12670808535711,8.25486022259441
148113,4.03610838369557,4.15150503712566
54965,8.18639888340858,8.67694479857582
256130,5.14681862573905,4.55315046033567
91252,8.00010582448289,8.5876253239832
266675,4.16568198703578,4.30530092412788
221264,6.10396666424413,5.98762097673103
84940,7.23530320711948,6.71812881515832
113277,6.57172935074999,6.91200151875697
84920,5.2603083327259,5.16773486136787
125488,11.6901291949871,11.3129215448605
91624,7.8675594872527,7.12849520036999
123207,8.96291847687106,9.31423489741774
84839,8.1125767768534,7.87615787997078
4238,6.81636125190195,7.48429223676067
2140,6.29591187246164,6.22275020406358
170575,6.61615228140202,6.96465588257259
11202,6.78753441721005,6.66186242704099
85478,4.88402589723371,5.23136214091269
159091,2.96259446166969,4.38042436574113
220136,5.45822441160944,3.87545166653131
100131755,5.97638584142216,5.75759045513459
5930,8.50206063551843,8.38473687960102
92806,8.77575082132267,8.952961269651
11078,6.46337255639947,6.25523983353946
117144,5.44791343330878,5.1267531073198
3233,5.1317709830145,4.63422582389231
145258,2.91846724164005,2.31915181281506
121340,4.42421448222042,4.21306566599104
5150,6.30687695629075,6.88088077663575
29883,8.23371848815908,7.91330235660328
9946,8.32594179589182,8.75362326087754
260429,6.16977304603462,6.0798492220681
255057,4.14746995314161,3.5040980909495
157777,4.21772261775861,5.58179997297075
114609,7.99872272368088,8.35647762144537
116842,14.1682826550674,13.4608428905491
124540,6.25352796180542,7.02235851491555
85477,3.02570159409876,4.8297532297104
140690,5.29012367503549,4.21776502775344
132321,7.78564371589484,7.28308453289489
84449,6.44565487877945,6.65383995995244
201158,8.18221005794236,7.80999993794911
157506,7.74848808293862,8.27360313547576
135295,5.10388662884918,4.62673454117974
149647,7.32383799775997,6.9131557070143
202309,6.27339981952323,5.44921201855774
80274,5.95557904720232,5.78661362066719
203111,6.41111501241415,7.90453727276565
164127,5.2081216718623,4.99764211878656
150350,3.89063487514613,3.60459898053476
81629,5.70729471466588,5.18593974578014
140870,6.05162657835733,5.16253682493498
160364,5.71958985085683,5.09426107998555
2972,4.09342869268043,5.38170595669203
123591,7.39424606006105,7.22476910543853
571,4.94018712326687,5.45063006909171
163688,6.06335716710507,5.63061619311534
126206,4.87790049949302,4.76939702123599
146852,3.85518397489715,4.3248420869881
165530,6.49843774385992,6.06123319576058
245909,8.50702015223629,7.36312978837158
259240,6.38275984323151,5.62729784709086
121441,6.89356765700433,7.70354903576055
254173,4.11637190527721,3.1558667745842
125972,4.89922422007402,4.1155047754782
220979,6.86305134061074,6.48116993699895
2117,6.7912749451374,6.90249878287215
317719,2.35371629780149,2.27846297190125
80213,11.9811713282744,11.7346345191176
220992,5.29390161696144,5.9096391882457
116966,5.17287020897442,4.19013781650097
162387,6.04423056336472,4.62885748107982
64072,5.77732098093451,4.5395410253019
150709,5.97476688364597,4.96063272045204
84465,2.45096101779079,2.22037194523639
11318,8.2340854542308,5.81105581224424
80712,5.3175370540783,4.53433262770406
83656,3.62193812930927,2.99493607119306
147199,2.9278214400576,2.83706823562006
285126,6.11712603911014,5.22180851916235
126248,2.98378594245564,3.0475942268703
158471,3.47606327739258,4.01083162928886
125997,5.09693470052121,4.37881160302181
92949,2.85024971327155,2.91034405911086
85509,5.13857872752703,5.33593739510294
169966,4.70548914159721,4.04636352176372
89778,5.59100681215324,5.1804055484683
118421,2.09485881196188,2.66110145169658
259234,5.7110073195164,5.44211468711129
83451,3.43924360898991,5.01396971463669
23527,7.95240758977096,8.40297974691423
2593,11.0902838175552,10.1397368295348
113026,6.54928042542207,6.19154003279465
3664,8.96687129364567,9.76746448350559
5788,3.96243289643915,4.38108658256266
10905,6.61002942622623,6.84284984522048
65059,8.95095349154739,8.84308526025873
140775,6.64841531750421,6.17235865294851
114294,7.85710295788356,8.39509290137357
646,3.05248312052013,2.59337833550879
58538,3.91688698099003,3.98014013111492
246269,6.13043572426813,6.28584325370113
91734,4.32269827277268,4.87588592054835
1584,4.13042294594824,4.25046395643737
129685,5.5209147535992,4.61405376868056
23242,8.58509199481894,7.82046559748967
114836,7.96017175784274,7.38296031173457
7579,6.90072095430408,6.23277973090727
151306,4.42312915112233,5.18061228932875
54933,3.65507073148626,4.26415168145079
80144,5.25651897946193,5.158238570815
84446,7.61075256975681,8.61982715737738
286204,4.51019390480347,4.38810618550694
23704,6.58784911853701,5.75374366370388
146894,6.57879703374,6.46789525663974
142680,9.52996677558612,9.12072278935514
57094,2.9562926526101,3.06124272080469
164684,3.34965909907885,4.02294648576927
204851,4.97542415639194,4.96904863650373
27085,4.543581036926,5.17099472921076
130399,9.51972089547887,7.48802214464645
157753,6.05394783508194,7.57398122349991
201798,5.08299266294786,4.22670458507525
116969,4.58793885600248,4.56226858738462
196472,3.72501154042211,3.16418324877416
84536,6.77840841261648,5.88088734035355
204801,7.06002021379624,7.23213685285722
245973,3.47057475192803,2.78266039948273
149461,4.82912498439228,5.42029488919656
143187,6.57196475324483,7.08182234630283
221458,4.24505837572261,3.65069586241883
115811,6.37302206672182,5.9556043200636
117289,8.01846151400069,7.41170873624695
85439,5.2179029367862,5.31760910066734
145264,6.66483555991458,6.30413179167937
137994,6.35692567078784,5.17402537719864
7809,5.22537045235076,4.01472636349902
170482,4.44872526415335,4.15631406662347
58484,6.1700805426372,5.46487123923914
146547,6.43896092542021,6.25438503895692
158866,5.44768583511129,5.22611817376485
10743,8.24445535130668,7.95367064066717
65061,3.67894046217028,3.81272993593765
148268,6.67439625285377,6.22562630144821
,3.76505324868601,4.46488684417986
119369,5.27997903447161,4.69901740368686
118663,6.0384555769462,5.31886622763161
83597,10.0701668873495,9.48368576080506
54084,6.48980161921762,5.89738525975561
145282,3.38975820526847,4.7737330909222
135398,6.60483631461974,5.61843988125668
200420,5.24484461342676,5.55202622794504
140469,4.51800860015516,4.04860418352076
8747,6.43545199184484,5.92936964187583
205860,3.16555755903485,3.04963683317455
150000,5.4176354160797,4.10713217531129
