probes,entrez,symbol,logFC,adj.P.Val
1555964_at,51326,ARL17A ,1.12257711950762,0.000202543208535319
1555976_s_at,10627,MYL12A,1.01226476099797,0.00889666807759048
1555979_at,100130417,LOC100130417,-1.05554104581435,0.000368481982163719
1556004_at,101928817,LOC101928817,-1.08779628566683,0.0332537381074848
1556019_at,160897,GPR180,-1.28538915182784,0.0178180546645016
1556033_at,388685,LINC01138,1.15558915707863,0.00269769331641273
1556034_s_at,10903,MTMR11,2.51145228364019,0.000893779383860108
1556037_s_at,64399,HHIP,-3.14449139087499,3.84088144451903e-05
1556051_a_at,636,BICD1,2.13329666419658,0.000353619036654737
1556064_at,284926,LOC284926,1.07333804161883,0.000741483282673601
1556072_at,200298,LINC00528,1.81192800185158,0.00334127200791356
1556097_at,9455,HOMER2,-1.56717955752189,0.00919641157321686
1556127_at,23181,DIP2A,-1.73406064697311,1.79618126372994e-06
1556136_at,340156,MYLK4,-1.25281342659304,0.0358441213655826
1556168_s_at,339766,MROH2A,-2.63184950501001,0.0196612080847767
1556202_at,23380,SRGAP2,1.40920946819382,0.0090734889638981
1556263_s_at,791114,LOC101928818 ,-1.15312777011362,0.0216198040359004
1556284_at,27068,PPA2,-1.07720814157309,0.00109721675674663
1556308_at,285368,PRRT3,1.09141180042928,0.0437683972345112
1556348_at,55127,HEATR1,1.04435887434384,0.0217901976946869
1556361_s_at,81573,ANKRD13C,-1.09789657700415,0.00524046188410625
1556364_at,100507098,ADAMTS9-AS2,-1.26145070834745,0.0143352270356307
1556429_a_at,93594,TBC1D31,2.40888159994786,0.000104197454598389
1556513_at,126231,ZNF573,-1.49472920442235,0.00607540347301469
1556529_a_at,285326,LINC00692,-1.35131127172633,0.0467398923875674
1556583_a_at,6546,SLC8A1,-1.74224157190537,0.0183088341639147
1556597_a_at,284513,LOC284513,1.12433296645119,0.0148750604695206
1556619_at,729993,SHISA9,-1.60470361010911,0.00598741273359929
1556627_at,1821,DRP2,-1.28750186228863,0.0387658227179048
1556661_at,150384,GTSE1-AS1,-1.3395822608203,0.00785077656578023
1556715_at,5635,PRPSAP1,1.40689653295706,0.0124186451256107
1556718_s_at,406970,MIR194-2,-1.71314506890019,0.000804001176299062
1556736_at,100129858,SCOC-AS1,-1.17677403677548,0.0315549125364068
1556798_a_at,386597,RNF144A-AS1,-1.29853739032773,0.0487853060770576
1556808_at,5911,RAP2A,1.20370939868434,0.0112561849581638
1556820_a_at,8847,DLEU2,1.20396818802265,1.74330407476977e-05
1556884_a_at,100861552,LINC00558,-1.66047564172939,0.0221863111178033
1556888_at,101927121,LOC101927121,-2.39065450103987,0.000741264127596338
1556894_at,64943,NT5DC2,-1.39079057442222,0.0256881048544645
1556896_at,284751,LINC01270,1.10188978476846,0.00599191205424446
1556903_at,101928335,LOC101928335,-1.10070269798061,0.0181768897872223
1556909_at,100505853,LOC100505853,-1.11588568890707,0.0208930487474561
1556917_a_at,101928651,LOC101928651,-1.44001684885827,0.015529690827732
1556969_at,255101,CCDC108,-1.00795357598505,0.0141893848318232
1557049_at,149478,BTBD19,-1.16666475978688,0.000259693709896499
1557050_at,100506311,HOTAIRM1,-1.11968869412927,0.0377805126156174
1557055_s_at,643837,LINC01128,-1.29711801371637,0.000206819252824058
1557107_at,286002,SLC26A4-AS1,-1.6368330921236,0.0132187688863857
1557126_a_at,5337,PLD1,-1.48632118537057,0.0271923234502621
1557129_a_at,374393,FAM111B,2.73025432604395,0.000161331512201494
1557136_at,84239,ATP13A4,-1.19127349318742,0.0295373252045401
1557161_at,100132735,LOC100132735,-1.47741877787546,0.0162915865596889
1557176_a_at,145407,C14orf37,-1.77686326288324,0.00805047681603831
1557225_at,374569,ASPG,-2.88511398159986,0.000282087779523033
1557227_s_at,7175,TPR,1.04624502798095,1.72289220341015e-05
1557260_a_at,84911,ZNF382,2.75849927764379,0.00159724719545065
1557303_at,30833,NT5C,1.24064016342484,0.00745092212624463
1557334_a_at,101929225,LOC101929225,-1.50011916455483,0.0343260607717564
1557411_s_at,203427,SLC25A43,1.13476327605031,0.00034089902996411
1557417_s_at,222967,RSPH10B ,-1.19787822729957,0.00644304870119786
1557419_a_at,2182,ACSL4,2.16791088981261,0.0271176077681374
1557430_at,147670,SMIM17,2.10807960947369,0.0038263692817236
1557474_at,284578,LOC284578,-1.19539932050873,0.0415385766019695
1557507_at,100507602,TRIM52-AS1,1.61795889496223,0.00398938786105011
1557564_at,100507300,ALKBH3-AS1,-1.42286890595235,0.0248856391437274
1557583_at,9705,ST18,-1.29168676805418,0.0480298779983422
1557598_at,101927870,LOC101927870,-1.5089675518233,0.0117135488532867
1557647_a_at,100507240,VWA8-AS1,-1.70284746468102,0.0195712187925009
1557669_at,100132005,LOC100132005,-1.14110941372988,0.0462563779795237
1557727_at,400960,PCBP1-AS1,-1.28115562743672,0.00597781583282611
1557742_a_at,100128176,LOC100128176,-1.30197627393574,0.043323736492418
1557765_at,643401,LINC01021,2.3547401838292,0.0272276481275674
1557787_at,101929153,LOC101929153,-1.48010380855674,0.0160471489711597
1557828_a_at,64417,C5orf28,1.03226647331552,0.000131387995722826
1557832_at,101926960,LOC101926960,-3.63311244901032,9.19788772286628e-05
1557837_a_at,255520,ELMOD2,-1.69884788324158,0.00310947872415659
1557850_at,285954,INHBA-AS1,-1.28265917647789,0.00144956102385529
1557879_at,100129175,LOC100129175,-1.33559495538477,0.0191481747975903
1557910_at,3326,HSP90AB1,1.71584037615339,0.00042549636177227
1557919_a_at,100289683,ERVH-3,-1.07410077080098,0.0464125402456939
1558034_s_at,1356,CP,-1.25500610253683,0.0318179597756371
1558041_a_at,653319,KIAA0895L,1.05389993872752,0.00948172753785887
1558077_s_at,130752,MDH1B,-1.27543369787196,0.0442621558388465
1558122_s_at,80034,CSRNP3,-1.689213534978,0.00730048040526368
1558139_at,642477,LINC01296 ,1.78637014220449,0.000532805325850346
1558214_s_at,1495,CTNNA1,1.57468474427241,7.87417596027554e-05
1558306_at,63892,THADA,1.73453468053636,0.00618997172512933
1558334_a_at,150248,C22orf15,-1.23416859470541,0.040926083680625
1558365_at,5230,PGK1,1.14957296081055,0.04057925713179
1558375_at,126755,LRRC38,-1.16130815026939,0.0447964776724288
1558397_at,5175,PECAM1,1.43980406626151,0.000314318307071601
1558402_at,101928857,CTD-3080P12.3,-2.02062747807341,0.00806513564375319
1558404_at,644242,LINC00622,1.22687618520759,0.0243423516988221
1558420_at,400258,C14orf180,-1.31258417654562,0.000787825501192892
1558486_at,284443,ZNF493,1.51547585410743,0.00409835599757418
1558515_at,100302692,FTX,1.18120116005465,0.00431174402825536
1558530_at,654429,LRTM2,-1.0351164062181,0.0332598387145381
1558549_s_at,8876,VNN1,-2.97589825470247,0.00554890477166439
1558601_at,285194,TUSC7,-1.49444197734772,0.0045448552162949
1558606_s_at,91875,TTC5,1.3663113927868,0.0309481276779411
1558623_at,729121,RGPD4-AS1,-1.48223777628889,0.0225241447259218
1558668_s_at,84690,SPATA22,-2.35727354847644,0.00437457201925514
1558693_s_at,112770,C1orf85,1.17098553208262,0.000123329566206828
1558706_a_at,84913,ATOH8,-1.26101738035107,0.0012428505358822
1558723_at,284014,LOC284014,-1.03422208129162,0.0021930007940836
1558732_at,9448,MAP4K4,1.4207873760234,0.0017938261949362
1558738_at,8996,NOL3,1.56470273554204,0.000687948118121205
1558743_at,253639,ZNF620,1.51876362436525,0.00309903634984069
1558750_a_at,89839,ARHGAP11B ,1.42185399872062,0.0452187920585016
1558762_a_at,285989,ZNF789,1.43046201633114,0.00134801876466275
1558813_at,50999,TMED5,-1.76931872423989,0.01799655934148
1558846_at,119548,PNLIPRP3,-1.58140949621392,0.0137616687296878
1558920_at,100128590,SLC8A1-AS1,-1.22784748827841,0.0499777458305342
1558965_at,51317,PHF21A,1.06355198011629,0.0360252771437897
1559005_s_at,54875,CNTLN,-1.33527351114342,0.0108122770269931
1559033_at,255167,LINC01018,-2.44279770364585,0.00427075952910679
1559045_at,100128288,LOC100128288,1.86387643895838,0.000608928607531108
1559065_a_at,339390,CLEC4G,-6.13001519779071,6.23575634071931e-11
1559131_a_at,101928047,LOC101928047,-1.55331622004095,0.0217179063550843
1559159_at,23177,CEP68,1.64776853615583,0.0185083509633988
1559239_s_at,38,ACAT1,-1.13669834840442,0.00404997622566991
1559254_at,378825,LINC00162,-1.45509386868628,0.00452878244409267
1559270_at,79776,ZFHX4,-1.06513388551474,0.0469613498504083
1559315_s_at,144481,SOCS2-AS1,-1.90877353592183,4.13017757141012e-05
1559321_at,101928858,LOC101928858,-1.86058912186948,0.00903127844899746
1559421_at,25992,SNED1,-1.08979484401354,0.0267357043964715
1559481_at,53344,CHIC1,-1.67943654505002,0.0188469827447599
1559500_at,23355,VPS8,1.8172291806291,0.000404888546147077
1559528_at,100129917,LOC100129917,1.57971407072561,0.0336137750406827
1559573_at,100506229,LINC01093,-4.35541699898942,4.36145658852618e-08
1559577_at,2220,FCN2,-4.6794494563947,7.44195586424232e-09
1559586_at,728868,LOC728868,-1.48602665461964,0.0192886214066323
1559618_at,100129447,LOC100129447,-1.21272705269658,0.0188808879259692
1559638_at,644997,C1orf200,-1.79275092593638,0.00075754082128763
1559687_at,100130519,TMEM221,-1.04543182595964,0.0140420030551107
1559701_s_at,8509,NDST2,1.63320145822484,0.00750006019135004
1559754_at,4050,LTB,-1.02509964618815,0.0206484088653874
1559785_at,122664,TPPP2,-2.35243064892959,3.83361150596796e-05
1559787_at,101927438,LOC101927438,-1.07437212892382,0.0234169242344573
1559790_at,646241,LOC646241,-2.03371389494489,0.00579242612272519
1559812_at,101927944,FAM53B-AS1,-1.34959999606915,0.0253230229190447
1559882_at,25939,SAMHD1,1.20841605736933,0.0252712562986474
1559957_a_at,642852,LOC642852,1.26570845146993,0.00942679728787963
1559960_x_at,100130958,SYCE1L,-1.85443913368276,0.00852166549821376
1559964_at,401261,FLJ38717,1.40028691416334,0.000718674724359927
1559965_at,100192378,ZFHX4-AS1,1.57957710233602,0.0472079291255755
1559975_at,694,BTG1,-1.05476151480678,0.0117343085838686
1559989_at,7171,TPM4,-1.32952151398935,0.00151984069639624
1560201_at,349075,ZNF713,1.06099864680394,0.0432214039414405
1560227_at,284161,GDPD1,1.38397501260206,0.021575782139676
1560277_a_at,283403,C12orf80,-1.17245641955015,0.0141279930110168
1560316_s_at,113263,GLCCI1,1.45053738227609,0.0382385466176366
1560404_a_at,89978,DPH6,-1.45976767700206,0.0361274801697775
1560488_at,401562,LCNL1,-1.04725327968399,0.000580343682857224
1560494_a_at,53336,CPXCR1,-1.71630222150729,0.0408578939694999
1560506_at,101928161,LOC101928161,-1.4250572795287,0.000674140747620049
1560526_at,266671,MAGI2-IT1,-1.84223242934724,0.0401073361601768
1560550_at,101927722,LOC101927722,-1.24561712864423,0.0113297338226199
1560560_at,101927143,LOC101927143,-1.25115472908109,0.019819568114072
1560686_at,3681,ITGAD,-1.22692836018201,0.0301565442418241
1560697_at,283392,TRHDE-AS1,-1.71500624579883,0.0296351498678444
1560720_at,8569,MKNK1,1.08234249646539,0.0382328600968248
1560723_at,283731,LOC283731,-1.32914218978675,0.0230932538111813
1560814_a_at,90416,C15orf57,1.36249987146148,0.0141251078073788
1560842_a_at,100507064,TEX26-AS1,-1.42638037641187,0.0359620432989695
1560881_a_at,54089,LINC00112,-1.12967038013015,0.00743505545360869
1560897_a_at,386678,KRTAP10-11,-1.17696335074439,0.00358313228344881
1561088_at,2070,EYA4,-1.17693251939687,0.0444377549650285
1561098_at,641365,LINC00616,-1.23851732895217,0.00840898983805818
1561101_at,153469,JAKMIP2-AS1,-2.04589856503396,0.00106003604743965
1561122_a_at,5890,RAD51B,-1.07161698602862,0.0269577491424767
1561185_at,246122,TTTY7,-1.37149151262912,0.0122039680352131
1561218_s_at,728099,LOC728099,-1.12576251334912,0.0169990489202426
1561238_at,5828,PEX2,1.47677373942224,0.00143644401599432
1561245_at,102724612,LOC102724612,-1.22494286273191,0.0199750947063332
1561273_at,100874365,HOXC-AS3,-1.26184283079307,0.00662707949685633
1561276_at,80005,DOCK5,-1.60856655062142,0.00468493201465878
1561281_a_at,284576,LEMD1-AS1,-1.42696762292897,0.0145817758689565
1561289_at,286370,LOC286370,-1.606293010528,0.0233327373833993
1561332_at,344905,ATP13A5,-1.13334984003321,0.011456143090209
1561335_at,440602,LOC440602,-1.12632250628831,0.0194276592616919
1561336_at,1776,DNASE1L3,-2.04637929922386,0.000867569105695504
1561352_at,101927528,LINC01204,-1.0328080288311,0.0120819364524788
1561420_a_at,101927051,LOC101927051,-1.48038641592376,0.000343511242721758
1561527_at,101927396,LOC101927396,-1.61263083234251,0.00494847686070068
1561537_at,388906,OGFRP1,-1.01173459669521,0.00119072987832855
1561544_at,101927058,LOC101927058,-1.45692345744573,0.00900768151156211
1561556_at,101929648,LOC101929648,-1.03008088967611,0.0309862245642508
1561605_at,101928326,LOC101928326,-1.04582130738877,0.04384477703519
